"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"95713","COLFAX, CA","G",969,"G",8631,"G",39856,160,"COLFAX","CA","PLACER"
"95714","DUTCH FLAT, CA","G",52,"H",262,"H",1082,9,"DUTCH FLAT","CA","PLACER"
"95715","EMIGRANT GAP, CA","J",19,"H",194,"G",960,4,"EMIGRANT GAP","CA","PLACER"
"95717","GOLD RUN, CA","H",39,"H",638,"H",2610,7,"GOLD RUN","CA","PLACER"
"95720","KYBURZ, CA","G",13,"H",46,"G",243,6,"KYBURZ","CA","EL DORADO"
"95722","MEADOW VISTA, CA","G",530,"G",5508,"G",26097,109,"MEADOW VISTA","CA","PLACER"
"95724","NORDEN, CA","H",536,"H",4998,"H",14770,6,"NORDEN","CA","NEVADA"
"95726","POLLOCK PINES, CA","G",538,"H",4716,"H",21613,97,"POLLOCK PINES","CA","EL DORADO"
"95728","SODA SPRINGS, CA","J",502,"H",3332,"H",11748,32,"SODA SPRINGS","CA","NEVADA"
"95735","TWIN BRIDGES, CA","J",59,"J",788,"J",4673,5,"TWIN BRIDGES","CA","EL DORADO"
"95736","WEIMAR, CA","J",348,"H",3133,"J",13893,15,"WEIMAR","CA","PLACER"
"95741","RANCHO CORDOVA, CA","G",116,"H",2543,"H",9662,6,"RANCHO CORDOVA","CA","SACRAMENTO"
"95742","RANCHO CORDOVA, CA","G",15649,"G",242356,"G",1039848,952,"RANCHO CORDOVA","CA","SACRAMENTO"
"95746","GRANITE BAY, CA","G",4480,"G",58874,"G",265246,621,"GRANITE BAY","CA","PLACER"
"95747","ROSEVILLE, CA","H",11894,"H",170559,"G",714887,1031,"ROSEVILLE","CA","PLACER"
"95757","ELK GROVE, CA","G",5786,"G",79461,"H",365208,513,"ELK GROVE","CA","SACRAMENTO"
"95758","ELK GROVE, CA","H",20503,"J",339065,"J",2051957,1106,"ELK GROVE","CA","SACRAMENTO"
"95759","ELK GROVE, CA","G",96,"G",1202,"H",4810,11,"ELK GROVE","CA","SACRAMENTO"
"95762","EL DORADO HILLS, CA","G",14363,"G",264771,"G",1140669,1322,"EL DORADO HILLS","CA","EL DORADO"
"95763","FOLSOM, CA","J",209,"J",3595,"J",17018,12,"FOLSOM","CA","SACRAMENTO"
"95765","ROCKLIN, CA","G",17070,"G",289031,"G",1243051,1104,"ROCKLIN","CA","PLACER"
"95776","WOODLAND, CA","G",11987,"G",162558,"G",715626,551,"WOODLAND","CA","YOLO"
"95798","WEST SACRAMENTO, CA","H",136,"H",1989,"H",8880,10,"WEST SACRAMENTO","CA","YOLO"
"95811","SACRAMENTO, CA","G",15527,"G",234978,"G",1057037,850,"SACRAMENTO","CA","SACRAMENTO"
"95812","SACRAMENTO, CA","J",130,"J",2470,"J",11955,9,"SACRAMENTO","CA","SACRAMENTO"
"95813","SACRAMENTO, CA","J",78,"J",541,"J",2342,3,"SACRAMENTO","CA","SACRAMENTO"
"95814","SACRAMENTO, CA","G",26201,"G",572379,"G",2381304,1683,"SACRAMENTO","CA","SACRAMENTO"
"95815","SACRAMENTO, CA","G",20227,"G",266818,"G",1060366,1122,"SACRAMENTO","CA","SACRAMENTO"
"95816","SACRAMENTO, CA","H",15915,"H",285593,"H",1228979,1077,"SACRAMENTO","CA","SACRAMENTO"
"95817","SACRAMENTO, CA","H",15208,"H",375865,"H",1583164,224,"SACRAMENTO","CA","SACRAMENTO"
"95818","SACRAMENTO, CA","G",5758,"G",59284,"G",256780,560,"SACRAMENTO","CA","SACRAMENTO"
"95819","SACRAMENTO, CA","G",8247,"G",113134,"H",467920,513,"SACRAMENTO","CA","SACRAMENTO"
"95820","SACRAMENTO, CA","H",6345,"H",104952,"H",414492,483,"SACRAMENTO","CA","SACRAMENTO"
"95821","SACRAMENTO, CA","G",9266,"G",126614,"G",534941,767,"SACRAMENTO","CA","SACRAMENTO"
"95822","SACRAMENTO, CA","G",5763,"G",52337,"G",236401,612,"SACRAMENTO","CA","SACRAMENTO"
"95823","SACRAMENTO, CA","H",17559,"H",315466,"H",1305604,1071,"SACRAMENTO","CA","SACRAMENTO"
"95824","SACRAMENTO, CA","H",5216,"G",41958,"G",180182,326,"SACRAMENTO","CA","SACRAMENTO"
"95825","SACRAMENTO, CA","G",30491,"H",515878,"H",2103900,1851,"SACRAMENTO","CA","SACRAMENTO"
"95826","SACRAMENTO, CA","G",17944,"G",303725,"G",1307139,907,"SACRAMENTO","CA","SACRAMENTO"
"95827","SACRAMENTO, CA","G",12827,"G",178971,"G",785913,653,"SACRAMENTO","CA","SACRAMENTO"
"95828","SACRAMENTO, CA","H",17867,"H",264446,"H",1127641,848,"SACRAMENTO","CA","SACRAMENTO"
"95829","SACRAMENTO, CA","G",4042,"G",43776,"G",191940,372,"SACRAMENTO","CA","SACRAMENTO"
"95830","SACRAMENTO, CA","H",207,"H",4262,"H",20408,10,"SACRAMENTO","CA","SACRAMENTO"
"95831","SACRAMENTO, CA","G",4943,"G",48716,"G",222798,537,"SACRAMENTO","CA","SACRAMENTO"
"95832","SACRAMENTO, CA","G",2460,"G",20889,"G",83453,126,"SACRAMENTO","CA","SACRAMENTO"
"95833","SACRAMENTO, CA","G",12117,"H",329627,"G",1307584,712,"SACRAMENTO","CA","SACRAMENTO"
"95834","SACRAMENTO, CA","G",27808,"G",393789,"G",1734582,1256,"SACRAMENTO","CA","SACRAMENTO"
"95835","SACRAMENTO, CA","H",6094,"H",48647,"H",228395,497,"SACRAMENTO","CA","SACRAMENTO"
"95837","SACRAMENTO, CA","H",4076,"H",49045,"H",207441,73,"SACRAMENTO","CA","SACRAMENTO"
"95838","SACRAMENTO, CA","G",8369,"G",127487,"G",548220,459,"SACRAMENTO","CA","SACRAMENTO"
"95841","SACRAMENTO, CA","G",7968,"G",79867,"G",350727,588,"SACRAMENTO","CA","SACRAMENTO"
"95842","SACRAMENTO, CA","G",3481,"G",32690,"G",134709,353,"SACRAMENTO","CA","SACRAMENTO"
"95843","ANTELOPE, CA","G",3264,"G",27160,"G",119100,505,"ANTELOPE","CA","SACRAMENTO"
"95864","SACRAMENTO, CA","G",3965,"G",60283,"G",272700,449,"SACRAMENTO","CA","SACRAMENTO"
"95901","MARYSVILLE, CA","G",7350,"G",96602,"G",410269,476,"MARYSVILLE","CA","YUBA"
"95903","BEALE AFB, CA","G",498,"G",12651,"G",49969,38,"BEALE AFB","CA","YUBA"
"95912","ARBUCKLE, CA","H",861,"H",12810,"H",56670,60,"ARBUCKLE","CA","COLUSA"
"95913","ARTOIS, CA","J",41,"J",501,"J",2245,4,"ARTOIS","CA","GLENN"
"95914","BANGOR, CA","J",7,"J",37,"J",169,3,"BANGOR","CA","BUTTE"
"95916","BERRY CREEK, CA","G",55,"H",382,"H",1749,7,"BERRY CREEK","CA","BUTTE"
"95917","BIGGS, CA","G",210,"H",2375,"H",9690,27,"BIGGS","CA","BUTTE"
"95918","BROWNS VALLEY, CA","J",106,"G",1106,"G",5974,23,"BROWNS VALLEY","CA","YUBA"
"95919","BROWNSVILLE, CA","J",92,"H",726,"J",3695,18,"BROWNSVILLE","CA","YUBA"
"95920","BUTTE CITY, CA","J",627,"J",26141,"J",103954,4,"BUTTE CITY","CA","GLENN"
"95922","CAMPTONVILLE, CA","H",72,"H",870,"H",3655,5,"CAMPTONVILLE","CA","YUBA"
"95923","CANYON DAM, CA","J",7,"G",175,"H",1719,5,"CANYON DAM","CA","PLUMAS"
"95924","CEDAR RIDGE, CA","G",29,"H",205,"H",643,12,"CEDAR RIDGE","CA","NEVADA"
"95925","CHALLENGE, CA","J",12,"H",163,"H",1106,4,"CHALLENGE","CA","YUBA"
"95926","CHICO, CA","G",14737,"G",178280,"G",767525,980,"CHICO","CA","BUTTE"
"95927","CHICO, CA","H",370,"H",7703,"H",34327,21,"CHICO","CA","BUTTE"
"95928","CHICO, CA","G",19925,"G",222433,"G",918311,1303,"CHICO","CA","BUTTE"
"95929","CHICO, CA","J",651,"J",2073,"J",9748,4,"CHICO","CA","BUTTE"
"95930","CLIPPER MILLS, CA","G",2,"G",9,"J",90,3,"CLIPPER MILLS","CA","BUTTE"
"95932","COLUSA, CA","G",2137,"G",27358,"G",114981,182,"COLUSA","CA","COLUSA"
"95934","CRESCENT MILLS, CA","J",25,"H",220,"H",1506,7,"CRESCENT MILLS","CA","PLUMAS"
"95935","DOBBINS, CA","J",57,"H",502,"H",2588,6,"DOBBINS","CA","YUBA"
"95936","DOWNIEVILLE, CA","G",37,"G",211,"H",1665,19,"DOWNIEVILLE","CA","SIERRA"
"95937","DUNNIGAN, CA","H",232,"G",1769,"G",8161,25,"DUNNIGAN","CA","YOLO"
"95938","DURHAM, CA","G",702,"G",8674,"H",38810,90,"DURHAM","CA","BUTTE"
"95942","FOREST RANCH, CA","G",124,"H",903,"H",5008,19,"FOREST RANCH","CA","BUTTE"
"95943","GLENN, CA","H",146,"G",3288,"G",11803,13,"GLENN","CA","GLENN"
"95945","GRASS VALLEY, CA","G",10173,"G",120301,"G",512749,1028,"GRASS VALLEY","CA","NEVADA"
"95946","PENN VALLEY, CA","G",853,"G",8402,"G",37143,159,"PENN VALLEY","CA","NEVADA"
"95947","GREENVILLE, CA","G",116,"G",1288,"H",6350,30,"GREENVILLE","CA","PLUMAS"
"95948","GRIDLEY, CA","G",1815,"G",17553,"H",73820,180,"GRIDLEY","CA","BUTTE"
"95949","GRASS VALLEY, CA","G",2296,"G",24374,"G",107956,360,"GRASS VALLEY","CA","NEVADA"
"95950","GRIMES, CA","H",44,"G",398,"G",1694,6,"GRIMES","CA","COLUSA"
"95951","HAMILTON CITY, CA","G",91,"H",970,"G",3496,15,"HAMILTON CITY","CA","GLENN"
"95953","LIVE OAK, CA","G",1194,"G",12151,"G",56356,137,"LIVE OAK","CA","SUTTER"
"95954","MAGALIA, CA","G",281,"G",2233,"G",10138,63,"MAGALIA","CA","BUTTE"
"95955","MAXWELL, CA","H",202,"H",2652,"H",12455,20,"MAXWELL","CA","COLUSA"
"95956","MEADOW VALLEY, CA","J",12,"J",104,"J",717,6,"MEADOW VALLEY","CA","PLUMAS"
"95957","MERIDIAN, CA","H",171,"H",2977,"H",12300,12,"MERIDIAN","CA","SUTTER"
"95959","NEVADA CITY, CA","G",3495,"G",47226,"G",201539,510,"NEVADA CITY","CA","NEVADA"
"95960","NORTH SAN JUAN, CA","J",61,"J",396,"H",1598,15,"NORTH SAN JUAN","CA","NEVADA"
"95961","OLIVEHURST, CA","G",1836,"G",20414,"G",93875,195,"OLIVEHURST","CA","YUBA"
"95962","OREGON HOUSE, CA","G",165,"H",1383,"G",6080,40,"OREGON HOUSE","CA","YUBA"
"95963","ORLAND, CA","G",2261,"G",22899,"G",101068,275,"ORLAND","CA","GLENN"
"95965","OROVILLE, CA","G",5126,"G",53993,"G",235075,385,"OROVILLE","CA","BUTTE"
"95966","OROVILLE, CA","H",5595,"H",74456,"H",312851,389,"OROVILLE","CA","BUTTE"
"95967","PARADISE, CA","J",21,"H",134,"H",574,7,"PARADISE","CA","BUTTE"
"95968","PALERMO, CA","J",117,"H",944,"H",4191,12,"PALERMO","CA","BUTTE"
"95969","PARADISE, CA","H",3279,"H",41331,"H",180840,314,"PARADISE","CA","BUTTE"
"95970","PRINCETON, CA","H",49,"G",577,"H",2147,6,"PRINCETON","CA","COLUSA"
"95971","QUINCY, CA","G",1688,"H",26144,"G",96739,195,"QUINCY","CA","PLUMAS"
"95973","CHICO, CA","G",8940,"G",107935,"G",481905,857,"CHICO","CA","BUTTE"
"95974","RICHVALE, CA","H",529,"H",8397,"H",36621,10,"RICHVALE","CA","BUTTE"
"95975","ROUGH AND READY, CA","H",59,"H",616,"H",2506,20,"ROUGH AND READY","CA","NEVADA"
"95977","SMARTSVILLE, CA","H",60,"H",863,"H",5551,15,"SMARTSVILLE","CA","NEVADA"
"95979","STONYFORD, CA","J",7,"J",79,"J",287,7,"STONYFORD","CA","COLUSA"
"95982","SUTTER, CA","G",792,"G",6870,"G",36570,52,"SUTTER","CA","SUTTER"
"95983","TAYLORSVILLE, CA","H",25,"H",128,"H",689,9,"TAYLORSVILLE","CA","PLUMAS"
"95986","WASHINGTON, CA","J",11,"J",38,"H",345,4,"WASHINGTON","CA","NEVADA"
"95987","WILLIAMS, CA","G",1434,"G",14434,"G",63117,116,"WILLIAMS","CA","COLUSA"
"95988","WILLOWS, CA","G",2595,"G",32674,"G",131594,197,"WILLOWS","CA","GLENN"
"95991","YUBA CITY, CA","G",11410,"G",135927,"G",587499,1047,"YUBA CITY","CA","SUTTER"
"95992","YUBA CITY, CA","G",242,"G",2519,"G",11042,14,"YUBA CITY","CA","SUTTER"
"95993","YUBA CITY, CA","G",9505,"G",107601,"G",455242,809,"YUBA CITY","CA","SUTTER"
"96001","REDDING, CA","G",12894,"G",163551,"G",711960,1335,"REDDING","CA","SHASTA"
"96002","REDDING, CA","G",14427,"G",168507,"G",705717,1132,"REDDING","CA","SHASTA"
"96003","REDDING, CA","G",15328,"G",172850,"G",712757,1021,"REDDING","CA","SHASTA"
"96006","ADIN, CA","J",17,"J",214,"H",865,5,"ADIN","CA","MODOC"
"96007","ANDERSON, CA","G",5394,"G",69177,"G",276411,425,"ANDERSON","CA","SHASTA"
"96008","BELLA VISTA, CA","J",74,"G",733,"H",4759,18,"BELLA VISTA","CA","SHASTA"
